instrument,pearson,spearman
gao_hu,0.23731139684531702,0.1456954036820519
er_hu,0.2974144249112092,0.34020655452198284
zhong_hu,0.5260906813933398,0.1726949026803186
ge_hu,-0.08391202840095817,0.011764705882352941
di_yin_ge_hu,-0.23607211417130666,-0.17058823529411765
jing_hu,0.07177818665111332,0.411764705882353
ban_hu,0.08791484292278767,0.32647058823529407
bang_di,0.047406293900275724,0.23823529411764705
qu_di,0.1440091254295633,0.05294117647058824
xin_di,0.20908209766371427,0.07211186646889438
da_di,0.3084008019264511,0.2029411764705882
gao_yin_sheng,0.2781551055948016,0.11470588235294117
zhong_yin_sheng,-0.12104191515453,0.047058823529411764
di_yin_sheng,-0.3722976941725571,-0.36176470588235293
gao_yin_suo_na,-0.005780193468577906,0.1486387451705782
zhong_yin_suo_na,0.11530028635587611,0.166298794101736
ci_zhong_yin_suo_na,-0.24518732709685268,-0.08823529411764705
di_yin_suo_na,-0.3505557754387751,-0.16764705882352943
gao_yin_guan,-0.15844633924730275,0.12518423001891144
zhong_yin_guan,-0.10113164813104841,-0.013264586578673935
di_yin_guan,-0.42497391967757836,-0.44705882352941173
bei_di_yin_guan,-0.39467922686199625,-0.15882352941176472
ba_wu,0.3458740721738791,0.21470588235294116
xun,0.11060302448030868,0.17941176470588235
xiao,0.29050083706465035,0.1264705882352941
liu_qin,0.14811866459848957,0.23841066057063037
xiao_ruan,0.1830244595744688,0.3411764705882353
pi_pa,0.1616431896931147,0.05294117647058824
yang_qin,0.0047269863811541385,0.27520242917720916
zhong_ruan,0.26388953858178493,0.3058823529411765
da_ruan,-0.12645933947458332,-0.06470588235294117
gu_zheng,0.22134046557854922,0.04120678083936822
gu_qin,0.06529563503535567,0.18823529411764706
kong_hou,0.39847929680077104,0.4621046136986292
san_xian,-0.003273167913605654,-0.03237675637378931
yun_luo,0.11010446301372176,0.04562179307215766
bian_zhong,0.15102445761742925,0.36055933234447185
violin,-0.2886612787000248,-0.09164941580955478
viola,-0.1622763307823781,-0.0073637782364065546
cello,-0.08744122164514397,0.09572911707328521
double_bass,0.4991779300697461,0.4970588235294117
piccolo,-0.11667564682085713,-0.02941176470588235
flute,-0.3902285976425455,-0.4477177167735185
oboe,-0.2763788537253381,-0.085546094909899
clarinet,-0.3571107596415972,-0.28571459557257434
bassoon,0.41794278141685326,0.29874916108541955
saxophone,0.42387134200560833,0.17365714782305175
trumpet,0.05853768804886305,0.37941176470588234
trombone,0.2514047887605449,0.17096578256957515
horn,0.4529131204341969,0.2754053060416051
tuba,0.4697922074323486,0.45904371567161606
harp,-0.08336291857298367,0.013245036698368356
tubular_bells,0.2699733945250334,0.15758485425910027
bells,-0.22045961500457922,0.03985266984930429
xylophone,-0.27379200544610066,-0.04415012232789452
vibraphone,0.23576796620594617,0.33701260043626147
marimba,0.015449954698700539,0.08130190112137925
piano,-0.3024371507584956,-0.4270991377115802
clavichord,0.40769446289544925,0.3058823529411765
accordion,-0.06266125437125335,-0.1339220377279467
organ,0.3872572616832549,0.055882352941176466
