model,descriptor,scale,sim_target,sim_orig_target,delta_target,path,stem
MS-CLAP,hollow,0.6,2.7968757152557373,2.678797721862793,0.11807799339294434,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_hollow_0.6.wav,guitar
MS-CLAP,hollow,1.0,2.4780924320220947,2.678797721862793,-0.20070528984069824,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_hollow_1.0.wav,guitar
MS-CLAP,loud,0.3,1.7655742168426514,1.6655774116516113,0.09999680519104004,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_loud_0.3.wav,guitar
MS-CLAP,loud,0.6,0.7533969879150391,1.6655774116516113,-0.9121804237365723,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_loud_0.6.wav,guitar
MS-CLAP,loud,1.0,0.7872660756111145,1.6655774116516113,-0.8783113360404968,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_loud_1.0.wav,guitar
MS-CLAP,low,0.3,1.3030645847320557,1.6519733667373657,-0.34890878200531006,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_low_0.3.wav,guitar
MS-CLAP,low,0.6,0.5876584053039551,1.6519733667373657,-1.0643149614334106,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_low_0.6.wav,guitar
MS-CLAP,low,1.0,0.8108601570129395,1.6519733667373657,-0.8411132097244263,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_low_1.0.wav,guitar
MS-CLAP,muffled,0.3,3.3206064701080322,3.045001745223999,0.2756047248840332,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_muffled_0.3.wav,guitar
MS-CLAP,muffled,0.6,3.228135347366333,3.045001745223999,0.18313360214233398,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_muffled_0.6.wav,guitar
MS-CLAP,muffled,1.0,1.8800255060195923,3.045001745223999,-1.1649762392044067,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_muffled_1.0.wav,guitar
MS-CLAP,sad,0.3,2.4826369285583496,2.172668695449829,0.3099682331085205,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_sad_0.3.wav,guitar
MS-CLAP,sad,0.6,3.1751744747161865,2.172668695449829,1.0025057792663574,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_sad_0.6.wav,guitar
MS-CLAP,sad,1.0,3.3855559825897217,2.172668695449829,1.2128872871398926,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_sad_1.0.wav,guitar
MS-CLAP,soft,0.3,2.8003528118133545,3.13321590423584,-0.33286309242248535,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_soft_0.3.wav,guitar
MS-CLAP,soft,0.6,2.7544634342193604,3.13321590423584,-0.3787524700164795,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_soft_0.6.wav,guitar
MS-CLAP,soft,1.0,1.6704304218292236,3.13321590423584,-1.4627854824066162,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_soft_1.0.wav,guitar
MS-CLAP,spacious,0.3,3.0321059226989746,3.5348048210144043,-0.5026988983154297,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_spacious_0.3.wav,guitar
MS-CLAP,spacious,0.6,3.1612610816955566,3.5348048210144043,-0.37354373931884766,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_spacious_0.6.wav,guitar
MS-CLAP,spacious,1.0,2.079094409942627,3.5348048210144043,-1.4557104110717773,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_spacious_1.0.wav,guitar
MS-CLAP,strong,0.3,2.581829071044922,2.4516427516937256,0.1301863193511963,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_strong_0.3.wav,guitar
MS-CLAP,strong,0.6,1.3084287643432617,2.4516427516937256,-1.1432139873504639,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_strong_0.6.wav,guitar
MS-CLAP,strong,1.0,1.3294142484664917,2.4516427516937256,-1.1222285032272339,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_strong_1.0.wav,guitar
MS-CLAP,tinny,0.3,3.6368465423583984,3.947171688079834,-0.31032514572143555,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_tinny_0.3.wav,guitar
MS-CLAP,tinny,0.6,3.083751916885376,3.947171688079834,-0.863419771194458,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_tinny_0.6.wav,guitar
MS-CLAP,tinny,1.0,1.3517370223999023,3.947171688079834,-2.5954346656799316,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_tinny_1.0.wav,guitar
MS-CLAP,warm,0.3,1.8114017248153687,2.614539623260498,-0.8031378984451294,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_warm_0.3.wav,guitar
MS-CLAP,warm,0.6,1.346613883972168,2.614539623260498,-1.26792573928833,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_warm_0.6.wav,guitar
MS-CLAP,warm,1.0,0.7050209045410156,2.614539623260498,-1.9095187187194824,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_warm_1.0.wav,guitar
