descriptor,spearman_delta_vs_scale
harsh,0.5
loud,0.5
bright,-0.5
clear,-0.5
tinny,-0.5
cool,-0.5
dark,-0.5
gentle,-0.5
soft,-0.5
smooth,-0.5
mellow,-0.5
sharp,-1.0
soothing,-1.0
heavy,-1.0
peaceful,-1.0
calm,-1.0
hard,-1.0
crisp,-1.0
cold,-1.0
warm,-1.0
