descriptor,spearman_delta_vs_scale
bright,1.0
calm,1.0
tinny,1.0
soothing,1.0
soft,1.0
smooth,1.0
sharp,1.0
mellow,1.0
loud,1.0
heavy,1.0
hard,1.0
dark,1.0
crisp,1.0
clear,1.0
harsh,0.5
peaceful,0.5
cold,0.5
gentle,-1.0
cool,-1.0
warm,-1.0
