descriptor,spearman_delta_vs_scale
haunting,1.0
muffled,1.0
echo,1.0
sad,0.5
hollow,-0.5
low,-0.5
big,-1.0
bass,-1.0
clear,-1.0
church,-1.0
distorted,-1.0
deep,-1.0
loud,-1.0
hall,-1.0
distant,-1.0
soft,-1.0
spacious,-1.0
strong,-1.0
tinny,-1.0
warm,-1.0
