descriptor,spearman_delta_vs_scale
hard,1.0
heavy,1.0
loud,1.0
dark,1.0
warm,1.0
smooth,1.0
peaceful,1.0
mellow,1.0
clear,0.5
bright,0.5
crisp,-0.5
calm,-1.0
cold,-1.0
harsh,-1.0
cool,-1.0
gentle,-1.0
sharp,-1.0
soft,-1.0
soothing,-1.0
tinny,-1.0
