model,descriptor,scale,sim_target,sim_orig_target,delta_target,path,stem
MS-CLAP,haunting,0.3,3.1920249462127686,1.986298680305481,1.2057262659072876,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_haunting_0.3.wav,guitar
MS-CLAP,haunting,0.6,3.4589736461639404,1.986298680305481,1.4726749658584595,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_haunting_0.6.wav,guitar
MS-CLAP,haunting,1.0,6.56876277923584,1.986298680305481,4.582464098930359,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_haunting_1.0.wav,guitar
MS-CLAP,hollow,0.3,3.1020736694335938,3.1096675395965576,-0.007593870162963867,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_hollow_0.3.wav,guitar
MS-CLAP,hollow,0.6,3.766280174255371,3.1096675395965576,0.6566126346588135,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_hollow_0.6.wav,guitar
MS-CLAP,hollow,1.0,2.2092881202697754,3.1096675395965576,-0.9003794193267822,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_hollow_1.0.wav,guitar
MS-CLAP,loud,0.3,1.2095363140106201,2.0216617584228516,-0.8121254444122314,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_loud_0.3.wav,guitar
MS-CLAP,loud,0.6,1.9786781072616577,2.0216617584228516,-0.04298365116119385,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_loud_0.6.wav,guitar
MS-CLAP,loud,1.0,-1.5468039512634277,2.0216617584228516,-3.5684657096862793,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_loud_1.0.wav,guitar
MS-CLAP,low,0.3,1.6132678985595703,2.1167120933532715,-0.5034441947937012,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_low_0.3.wav,guitar
MS-CLAP,low,0.6,1.839277744293213,2.1167120933532715,-0.2774343490600586,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_low_0.6.wav,guitar
MS-CLAP,low,1.0,0.9543836116790771,2.1167120933532715,-1.1623284816741943,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_low_1.0.wav,guitar
MS-CLAP,muffled,0.3,2.7515506744384766,3.3412106037139893,-0.5896599292755127,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_muffled_0.3.wav,guitar
MS-CLAP,muffled,0.6,3.008364677429199,3.3412106037139893,-0.33284592628479004,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_muffled_0.6.wav,guitar
MS-CLAP,muffled,1.0,0.6652218699455261,3.3412106037139893,-2.675988733768463,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_muffled_1.0.wav,guitar
MS-CLAP,nice,0.3,2.6286001205444336,3.4388670921325684,-0.8102669715881348,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_nice_0.3.wav,guitar
MS-CLAP,nice,0.6,3.0815446376800537,3.4388670921325684,-0.35732245445251465,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_nice_0.6.wav,guitar
MS-CLAP,nice,1.0,1.9293034076690674,3.4388670921325684,-1.509563684463501,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_nice_1.0.wav,guitar
MS-CLAP,sad,0.3,2.9225494861602783,2.2618260383605957,0.6607234477996826,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_sad_0.3.wav,guitar
MS-CLAP,sad,0.6,2.4801952838897705,2.2618260383605957,0.2183692455291748,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_sad_0.6.wav,guitar
MS-CLAP,sad,1.0,3.2274088859558105,2.2618260383605957,0.9655828475952148,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_sad_1.0.wav,guitar
MS-CLAP,soft,0.3,2.2887651920318604,3.6724915504455566,-1.3837263584136963,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_soft_0.3.wav,guitar
MS-CLAP,soft,0.6,3.0248777866363525,3.6724915504455566,-0.6476137638092041,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_soft_0.6.wav,guitar
MS-CLAP,soft,1.0,-0.6209946870803833,3.6724915504455566,-4.29348623752594,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_soft_1.0.wav,guitar
MS-CLAP,spacious,0.3,3.57900071144104,4.003668308258057,-0.4246675968170166,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_spacious_0.3.wav,guitar
MS-CLAP,spacious,0.6,2.932847738265991,4.003668308258057,-1.0708205699920654,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_spacious_0.6.wav,guitar
MS-CLAP,spacious,1.0,2.5086119174957275,4.003668308258057,-1.495056390762329,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_spacious_1.0.wav,guitar
MS-CLAP,strong,0.3,2.531965970993042,2.809413194656372,-0.2774472236633301,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_strong_0.3.wav,guitar
MS-CLAP,strong,0.6,1.8757127523422241,2.809413194656372,-0.933700442314148,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_strong_0.6.wav,guitar
MS-CLAP,strong,1.0,-0.16989801824092865,2.809413194656372,-2.9793112128973007,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_strong_1.0.wav,guitar
MS-CLAP,warm,0.3,1.7714177370071411,2.9940810203552246,-1.2226632833480835,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_warm_0.3.wav,guitar
MS-CLAP,warm,0.6,1.342872142791748,2.9940810203552246,-1.6512088775634766,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_warm_0.6.wav,guitar
MS-CLAP,warm,1.0,0.25990068912506104,2.9940810203552246,-2.7341803312301636,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_warm_1.0.wav,guitar
